NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD209	1302	4.1819305419921875	-0.07150269	No	
row_1	PIKFYVE	2435	1.810276985168457	-0.1399921	No	
row_2	ULBP3	2528	1.7045931816101074	-0.14016439	No	
row_3	LNPEP	2879	1.3568347692489624	-0.15857978	No	
row_4	IDE	4800	0.3528951406478882	-0.28415722	No	
row_5	ULBP2	4913	0.3260294795036316	-0.29042473	No	
row_6	ERAP2	5460	0.19288988411426544	-0.32581532	No	
row_7	DNM2	6785	-0.0513075515627861	-0.41307655	No	
row_8	CTSE	7180	-0.12052083760499954	-0.4386795	No	
row_9	LGMN	8076	-0.302280068397522	-0.49673972	No	
row_10	ACE	8349	-0.36890357732772827	-0.51342535	No	
row_11	SLC11A1	8504	-0.4069271981716156	-0.52218646	No	
row_12	PDIA3	8907	-0.5114316940307617	-0.5469639	No	
row_13	CTSD	9116	-0.5705710649490356	-0.55872446	No	
row_14	MPEG1	9176	-0.5901519060134888	-0.56057703	No	
row_15	FCGR2B	10752	-1.1761950254440308	-0.6605188	No	
row_16	ERAP1	11698	-1.620885968208313	-0.71731436	No	
row_17	HLA-DQB2	11970	-1.7838993072509766	-0.7290334	No	
row_18	CLEC4A	12314	-2.0309603214263916	-0.7446518	No	
row_19	CALR	12424	-2.099682569503784	-0.7445785	No	
row_20	MFSD6	12742	-2.3609001636505127	-0.75733715	No	
row_21	CTSF	12781	-2.396587610244751	-0.7515466	No	
row_22	IKBKB	13756	-3.425952434539795	-0.80400586	No	
row_23	HLA-DQB1	14003	-3.8160595893859863	-0.8070359	Yes	
row_24	SAR1B	14074	-3.944960832595825	-0.79799616	Yes	
row_25	HLA-DQA1	14260	-4.2740678787231445	-0.79541147	Yes	
row_26	AZGP1	14317	-4.424611568450928	-0.783786	Yes	
row_27	HLA-DQA2	14348	-4.473880290985107	-0.77027285	Yes	
row_28	HLA-G	14427	-4.646975994110107	-0.75933015	Yes	
row_29	FCER1G	14516	-4.856703758239746	-0.7483216	Yes	
row_30	TAPBPL	14649	-5.219629287719727	-0.7389619	Yes	
row_31	TAPBP	14959	-6.866138458251953	-0.73558915	Yes	
row_32	CTSS	14991	-7.176479339599609	-0.7127821	Yes	
row_33	HLA-DPB1	15026	-7.668962478637695	-0.68846756	Yes	
row_34	HLA-DRB5	15066	-8.290501594543457	-0.6623306	Yes	
row_35	HLA-DOA	15076	-8.431190490722656	-0.6337252	Yes	
row_36	HLA-DRB1	15082	-8.55451488494873	-0.6044285	Yes	
row_37	HLA-DMB	15088	-8.659514427185059	-0.5747682	Yes	
row_38	HLA-DPA1	15109	-9.121464729309082	-0.5444986	Yes	
row_39	HLA-DRA	15118	-9.25808334350586	-0.51296335	Yes	
row_40	IFI30	15134	-10.030172348022461	-0.47921646	Yes	
row_41	B2M	15138	-10.261972427368164	-0.44387424	Yes	
row_42	HLA-C	15149	-11.099032402038574	-0.40609533	Yes	
row_43	HLA-E	15150	-11.117681503295898	-0.36759138	Yes	
row_44	HLA-B	15151	-11.138444900512695	-0.32901555	Yes	
row_45	HLA-DMA	15159	-11.834590911865234	-0.28849104	Yes	
row_46	PSMB10	15161	-12.009282112121582	-0.24696527	Yes	
row_47	HLA-DOB	15164	-12.35726261138916	-0.20430039	Yes	
row_48	HLA-A	15166	-12.697202682495117	-0.16039214	Yes	
row_49	HLA-F	15179	-14.076173782348633	-0.11243455	Yes	
row_50	TAP2	15183	-14.824706077575684	-0.061290193	Yes	
row_51	TAP1	15190	-17.86861801147461	1.9803643E-4	Yes	
